"source","target","value"
0,1,14
0,2,8
0,3,1
0,4,30
0,5,26
0,6,50
0,7,17
0,9,12
0,10,1
0,11,2
0,12,4
0,14,1
0,15,3
0,16,12
0,17,1
0,18,2
0,19,2
0,20,6
0,21,14
0,22,5
0,24,5
0,25,8
0,26,16
0,27,4
0,28,14
0,29,4
0,30,1
0,31,1
0,32,2
0,33,1
0,34,3
0,35,3
0,36,5
0,37,23
0,42,4
0,45,5
0,46,13
0,47,2
0,49,2
0,50,1
0,52,1
0,53,2
0,54,8
0,58,1
0,60,5
0,61,5
0,62,4
0,63,5
0,64,4
0,65,6
0,66,1
0,68,7
0,69,3
0,70,5
0,72,1
0,73,1
0,74,5
0,76,4
0,77,2
0,78,10
0,79,4
0,81,5
0,82,11
0,83,1
0,84,2
0,85,1
0,86,3
0,87,3
0,88,7
0,90,5
0,91,3
0,92,2
0,93,1
0,96,1
0,97,3
0,99,27
1,2,14
1,3,1
1,4,20
1,5,2
1,6,17
1,7,4
1,8,1
1,9,22
1,13,16
1,17,4
1,20,3
1,23,21
1,24,1
1,26,9
1,27,2
1,29,7
1,31,3
1,32,4
1,33,5
1,34,3
1,35,10
1,36,11
1,38,4
1,39,7
1,40,1
1,42,7
1,44,3
1,46,1
1,49,17
1,52,4
1,54,3
1,55,9
1,56,9
1,57,2
1,58,72
1,60,3
1,61,5
1,63,2
1,65,1
1,67,25
1,69,1
1,70,170
1,71,99
1,86,2
1,88,19
1,89,7
1,90,1
1,94,1
1,95,7
1,99,28
2,4,4
2,5,19
2,6,12
2,8,12
2,9,4
2,10,20
2,11,1
2,12,1
2,13,1
2,15,5
2,16,6
2,17,1
2,18,13
2,19,1
2,20,7
2,21,3
2,22,2
2,23,15
2,25,3
2,26,1
2,27,13
2,28,4
2,31,3
2,32,9
2,33,8
2,34,3
2,35,3
2,36,13
2,39,5
2,40,8
2,41,4
2,42,5
2,43,10
2,44,3
2,45,2
2,46,4
2,47,1
2,48,44
2,49,1
2,52,8
2,53,13
2,54,3
2,55,9
2,57,1
2,58,14
2,59,4
2,60,10
2,61,10
2,62,7
2,63,19
2,64,2
2,67,31
2,68,2
2,69,2
2,70,5
2,71,3
2,72,1
2,73,9
2,75,2
2,76,1
2,78,1
2,79,3
2,80,3
2,82,11
2,84,1
2,85,16
2,86,2
2,87,2
2,88,4
2,89,8
2,94,2
2,96,7
2,97,3
2,98,7
2,99,34
3,4,2
3,5,15
3,7,1
3,8,2
3,9,16
3,10,5
3,12,1
3,13,4
3,14,18
3,15,6
3,16,11
3,21,1
3,23,1
3,24,3
3,26,14
3,27,11
3,28,34
3,29,7
3,31,7
3,32,1
3,34,5
3,35,2
3,38,2
3,41,17
3,42,61
3,45,4
3,46,1
3,48,76
3,49,6
3,50,1
3,52,13
3,54,8
3,55,40
3,58,6
3,59,8
3,61,46
3,62,7
3,63,1
3,66,1
3,68,19
3,69,3
3,70,21
3,71,6
3,73,7
3,78,4
3,79,2
3,80,2
3,82,4
3,83,1
3,85,1
3,86,3
3,88,5
3,89,14
3,90,6
3,93,1
3,94,1
3,95,4
3,96,21
3,97,3
3,98,2
3,99,2
4,5,8
4,6,3
4,7,18
4,8,7
4,9,11
4,10,7
4,11,8
4,12,1
4,13,2
4,14,2
4,15,11
4,16,5
4,17,50
4,18,6
4,19,10
4,20,1
4,21,34
4,22,4
4,23,31
4,24,5
4,25,19
4,26,1
4,27,3
4,28,12
4,29,9
4,30,9
4,31,4
4,32,17
4,33,11
