userid,username,forumid,most_active_forum
14270,Zewarrodord,NULL,NULL
8947,wiesel,181,"Zahlungsmethoden und Cashout"
8942,Moe.,182,"Die Fragen der Neulinge"
8938,michaelarweile,238,Trojaner
8927,money,246,"Software &amp; OS"
8926,NoMercy,216,Searching
8925,0x3a,216,Searching
8921,moe,211,"Goods / Drugs / Self Defense"
8920,EsseX,182,"Die Fragen der Neulinge"
8910,Cifer22,182,"Die Fragen der Neulinge"
8909,Purehate,211,"Goods / Drugs / Self Defense"
8908,CyOn!X,169,"About Forum - News"
8907,byt0x,181,"Zahlungsmethoden und Cashout"
8902,Nyuu,209,Carding/Instorecarding
8899,JackDaniels,181,"Zahlungsmethoden und Cashout"
8894,tri3cer,216,Searching
8891,jolly-roger,216,Searching
8889,NYD,181,"Zahlungsmethoden und Cashout"
8884,bulletxxx,216,Searching
8883,TBL,181,"Zahlungsmethoden und Cashout"
8882,1337_reactioN,182,"Die Fragen der Neulinge"
8876,RSI,217,Droping/Packstation/Pickpoints...
8873,xRaidon,181,"Zahlungsmethoden und Cashout"
8865,p01s0n,211,"Goods / Drugs / Self Defense"
8860,Rafael1989,211,"Goods / Drugs / Self Defense"
8852,Kalle65,211,"Goods / Drugs / Self Defense"
8848,Nexxis,182,"Die Fragen der Neulinge"
8838,TheCoder,215,"Tools / Malware"
8829,Dazzzzzor,273,"Not Sorted"
8827,Au7oX3k,182,"Die Fragen der Neulinge"
8825,CARGLASS,211,"Goods / Drugs / Self Defense"
8823,p00ti,249,Offtopic
16458,wmspider,174,Paymentsystems
16459,evens,NULL,NULL
8820,bertrank,NULL,NULL
8816,Spooky,211,"Goods / Drugs / Self Defense"
8813,Xaras,238,Trojaner
8810,dumper,182,"Die Fragen der Neulinge"
8809,black--cell,181,"Zahlungsmethoden und Cashout"
8807,zet,181,"Zahlungsmethoden und Cashout"
8801,El_Manjo,221,"Warez Accounts"
8798,HanzBlix,216,Searching
8797,n0ise,211,"Goods / Drugs / Self Defense"
8795,LilWayne,181,"Zahlungsmethoden und Cashout"
8792,SynT@x,181,"Zahlungsmethoden und Cashout"
8785,*Poison$Ivy*,181,"Zahlungsmethoden und Cashout"
8784,Muti,216,Searching
8779,4tr0x,182,"Die Fragen der Neulinge"
8778,Boterkid,274,"Accounts / VPN, Socks"
8774,checkit,NULL,NULL
8770,lolipop,211,"Goods / Drugs / Self Defense"
8768,miguel,183,Diskussionen
8765,jebiga30,183,Diskussionen
8759,RichiThebitchi,204,"English Main"
8753,Hypnotoad,182,"Die Fragen der Neulinge"
8750,Fake,182,"Die Fragen der Neulinge"
8748,zaubermichel,182,"Die Fragen der Neulinge"
8745,syroxx77,NULL,NULL
8742,Klintel,245,"GFX and Video"
8740,Freakzzor,182,"Die Fragen der Neulinge"
8734,max,211,"Goods / Drugs / Self Defense"
8730,Wustu,211,"Goods / Drugs / Self Defense"
8728,M0rph3uS,NULL,NULL
8727,audi,221,"Warez Accounts"
8725,Freak_,181,"Zahlungsmethoden und Cashout"
8724,Inmate,181,"Zahlungsmethoden und Cashout"
8720,aQuaaa,214,"Drops / Packstation"
8717,ATLAS,212,"Services / Setup"
8715,alibaby,181,"Zahlungsmethoden und Cashout"
8713,shop_vendoor,314,"Marktplatz Archiv"
8709,Crashkid,NULL,NULL
8708,Wounder2,NULL,NULL
8706,killa,214,"Drops / Packstation"
8704,xxxxx,189,Tutorials
8699,MuffinX,182,"Die Fragen der Neulinge"
8693,SteamArtist,212,"Services / Setup"
8686,anyway,181,"Zahlungsmethoden und Cashout"
8685,Mira,188,Vorstellungen
16357,V.Valentino,216,Searching
8674,BERLINA030,216,Searching
8673,Ciuba,189,Tutorials
8672,Spliffy16,216,Searching
8671,c0ntact,216,Searching
8670,Safespeed,212,"Services / Setup"
8668,Gh0stRydaH,216,Searching
8666,tom2199,NULL,NULL
8665,shrek-id,182,"Die Fragen der Neulinge"
8659,loyalerkamerad,211,"Goods / Drugs / Self Defense"
8658,Khijano,211,"Goods / Drugs / Self Defense"
8656,PurePass,170,"All about Fraud"
8655,ev0,181,"Zahlungsmethoden und Cashout"
8650,black-jack,196,"Nachrichten Germany"
8647,AscN,181,"Zahlungsmethoden und Cashout"
8644,reiter07,216,Searching
8638,Sezer70,216,Searching
8637,mr.$,182,"Die Fragen der Neulinge"
8627,scriptcheck,NULL,NULL
8624,CrAcKa,NULL,NULL
8618,qoop,182,"Die Fragen der Neulinge"
8616,~zerocool~,182,"Die Fragen der Neulinge"
8613,toriz,209,Carding/Instorecarding
8612,Bambus,182,"Die Fragen der Neulinge"
8610,MadMighty,216,Searching
8609,secret,181,"Zahlungsmethoden und Cashout"
8608,blokkmonsta,183,Diskussionen
8604,sohei1337,183,Diskussionen
8598,x3n,182,"Die Fragen der Neulinge"
8595,Only,182,"Die Fragen der Neulinge"
8591,itaLy,172,"Real Carding"
8590,knackigeoma,174,Paymentsystems
8588,hammerhalde,188,Vorstellungen
8583,kevsuck,183,Diskussionen
8579,mrmandato,211,"Goods / Drugs / Self Defense"
8574,bl4ckm4ge,182,"Die Fragen der Neulinge"
8572,DanBo,270,"CC's / Identification / Dumps"
8567,Makcim,181,"Zahlungsmethoden und Cashout"
8564,Morgen,181,"Zahlungsmethoden und Cashout"
8561,xfedo,182,"Die Fragen der Neulinge"
8560,HeaVen,216,Searching
8556,AeroX91,NULL,NULL
8554,CowCain,249,Offtopic
8552,Paysafer,NULL,NULL
8549,bobz,211,"Goods / Drugs / Self Defense"
8548,wac4,182,"Die Fragen der Neulinge"
8545,tsd,212,"Services / Setup"
8542,BullDDOSer,238,Trojaner
8541,deathmind,209,Carding/Instorecarding
8535,FerayZe,NULL,NULL
8532,series,231,Botnet
8523,AES,182,"Die Fragen der Neulinge"
8522,swissbeatz,181,"Zahlungsmethoden und Cashout"
8518,Iruel,217,Droping/Packstation/Pickpoints...
8517,RollingStone,182,"Die Fragen der Neulinge"
8514,Petrisun,182,"Die Fragen der Neulinge"
8512,terrorstyle,216,Searching
8509,Bummer,183,Diskussionen
8504,igoe,245,"GFX and Video"
8503,ClockiminatoR,216,Searching
8500,y2k,226,"Support / Kritik / Verbesserungsvorschläge"
8495,MerryLu,183,Diskussionen
8492,scene_it,188,Vorstellungen
8486,Styluxe,182,"Die Fragen der Neulinge"
8482,Ghostt,189,Tutorials
8481,DKahnKane,NULL,NULL
8479,digggah,181,"Zahlungsmethoden und Cashout"
8477,0wnaa,216,Searching
8476,bigdaddy22,211,"Goods / Drugs / Self Defense"
8473,funst3r,209,Carding/Instorecarding
8467,siedenburg2,188,Vorstellungen
8465,marijuana,182,"Die Fragen der Neulinge"
8464,mario1,182,"Die Fragen der Neulinge"
8462,unnex,234,Injections
8461,Veto,178,"<font color=#FF8C00>Plastic &amp; Documents</font>"
8451,doofxd,NULL,NULL
8450,rerebelabt,216,Searching
8448,skAi,182,"Die Fragen der Neulinge"
8439,Garomer,222,"Sonstige Accounts"
8433,Cy0n!X,211,"Goods / Drugs / Self Defense"
8432,T.K|Day,NULL,NULL
8431,neuronet,214,"Drops / Packstation"
8429,coolio,212,"Services / Setup"
8426,aCiDzOrN,188,Vorstellungen
8424,Cyler,182,"Die Fragen der Neulinge"
8422,rEvAnCe,216,Searching
8421,Cyberus,196,"Nachrichten Germany"
8420,Rap3,209,Carding/Instorecarding
8416,3lite,188,Vorstellungen
8415,ghosty,215,"Tools / Malware"
8414,xxbsxe,188,Vorstellungen
8409,Lexus,181,"Zahlungsmethoden und Cashout"
8407,hmmi,182,"Die Fragen der Neulinge"
8399,p0lat,182,"Die Fragen der Neulinge"
8398,Du3en,182,"Die Fragen der Neulinge"
8397,rsN,216,Searching
8393,Einsam01,NULL,NULL
8389,jeiN,181,"Zahlungsmethoden und Cashout"
8386,F-SYS,249,Offtopic
8385,sp7,182,"Die Fragen der Neulinge"
8383,micro,212,"Services / Setup"
8382,Casanova,182,"Die Fragen der Neulinge"
8381,Splatter,188,Vorstellungen
8377,davis_cc,181,"Zahlungsmethoden und Cashout"
8376,Carlos71,NULL,NULL
8375,dd7,182,"Die Fragen der Neulinge"
8373,ArthurSpooner,181,"Zahlungsmethoden und Cashout"
8370,Seri0us,NULL,NULL
8369,held,249,Offtopic
8363,kk29,NULL,NULL
16426,shokker,NULL,NULL
8359,DjKisune,182,"Die Fragen der Neulinge"
8356,bentley,189,Tutorials
8352,SpiceBoy,NULL,NULL
8351,MR.NiCEGUY,181,"Zahlungsmethoden und Cashout"
8350,k!LLu,183,Diskussionen
8346,versesone,211,"Goods / Drugs / Self Defense"
8345,heineken16k,181,"Zahlungsmethoden und Cashout"
8344,popaj,182,"Die Fragen der Neulinge"
8343,Napoleon,181,"Zahlungsmethoden und Cashout"
8336,Lorenz,NULL,NULL
8335,franky,NULL,NULL
8334,Sp3ziaL,209,Carding/Instorecarding
8330,mc_lovin,209,Carding/Instorecarding
8329,mosa01,209,Carding/Instorecarding
8325,cutsman,182,"Die Fragen der Neulinge"
8323,potatokiller,182,"Die Fragen der Neulinge"
8318,Mixalsky,182,"Die Fragen der Neulinge"
8317,Sylvester414,181,"Zahlungsmethoden und Cashout"
8314,Clearshape,267,Unsorted
8313,Zera,NULL,NULL
8311,JackTheRipper,181,"Zahlungsmethoden und Cashout"
8308,2PaCalyPsEnOw,183,Diskussionen
8307,oTTi,224,"Payment Accounts + CC's"
8306,mawter,265,"Tools / Software"
8304,bombala77,181,"Zahlungsmethoden und Cashout"
8303,noob@pc,216,Searching
8301,0-saft,182,"Die Fragen der Neulinge"
8300,Black-Hack,181,"Zahlungsmethoden und Cashout"
8299,silver54,183,Diskussionen
8296,X0064X,181,"Zahlungsmethoden und Cashout"
8293,"KRON0S (&#922;&#961;&#972;&#957;&#959;&#962;)",169,"About Forum - News"
8289,Paysafecard,182,"Die Fragen der Neulinge"
8286,Fusel,216,Searching
8283,Cyb0rg,181,"Zahlungsmethoden und Cashout"
8281,Ch40s,182,"Die Fragen der Neulinge"
8280,momo5102,243,"Skimming Software/Tools"
8278,daten444,182,"Die Fragen der Neulinge"
8277,Blockbuster,216,Searching
8276,MasterXD,209,Carding/Instorecarding
8273,pille191,182,"Die Fragen der Neulinge"
8265,Redlight,170,"All about Fraud"
8264,Invaderzim,270,"CC's / Identification / Dumps"
8263,rapter,188,Vorstellungen
8256,cunit156,182,"Die Fragen der Neulinge"
8255,cl_b0b,211,"Goods / Drugs / Self Defense"
8253,Milano,NULL,NULL
8251,IlPadrino,181,"Zahlungsmethoden und Cashout"
8250,Throx,212,"Services / Setup"
8247,ssh-socks,216,Searching
8244,DavidGUetta,249,Offtopic
8241,powerup,174,Paymentsystems
8239,str0ker,183,Diskussionen
8238,mandy,183,Diskussionen
8237,BlackMatrix,183,Diskussionen
8236,Hartz-fear,189,Tutorials
8233,letsgo,182,"Die Fragen der Neulinge"
8229,Wolfgang,181,"Zahlungsmethoden und Cashout"
8225,ikomanis,273,"Not Sorted"
8224,deaken,181,"Zahlungsmethoden und Cashout"
8212,PS4ME,181,"Zahlungsmethoden und Cashout"
8211,Darthlord,182,"Die Fragen der Neulinge"
8208,ebx,226,"Support / Kritik / Verbesserungsvorschläge"
8206,Gotcha,181,"Zahlungsmethoden und Cashout"
8205,LBEST,203,"Virtual creditcard (Cvv)"
8204,Brummbaer,181,"Zahlungsmethoden und Cashout"
8202,Fushigi,232,"Pay TV / Onlineradio"
8194,MaSarie,209,Carding/Instorecarding
8191,KoK,181,"Zahlungsmethoden und Cashout"
8181,Slumski,188,Vorstellungen
8179,n0f3ar,246,"Software &amp; OS"
8177,X-Source,181,"Zahlungsmethoden und Cashout"
8170,FridayDie,212,"Services / Setup"
8164,SurfArab,211,"Goods / Drugs / Self Defense"
8163,WelleErdball,NULL,NULL
8162,panzerjunge,181,"Zahlungsmethoden und Cashout"
8161,CyberGT,221,"Warez Accounts"
8160,grendel,NULL,NULL
8157,agonoize,216,Searching
8153,K1!!3R,170,"All about Fraud"
8145,FAM0US,188,Vorstellungen
8144,wurstman,NULL,NULL
8139,Koksi,204,"English Main"
8136,alendelon,182,"Die Fragen der Neulinge"
8132,flashback,189,Tutorials
